topic,v_lat,v_lon,Country
Business,48.2349,16.318405,at
Business,48.2349,16.318405,at
Business,48.2349,16.318405,at
Business,48.205635,16.377861,at
Business,48.208305,16.382875,at
Business,48.216156,16.354517,at
Business,48.186687,16.33173,at
Business,48.311443,14.298801,at
Business,48.190845,16.35986,at
Business,48.219196,16.403343,at
Business,48.192005,16.33595,at
Business,52.430836,13.531867000000002,at
Business,50.83,4.33,be
Business,50.872944,4.415792,be
Business,50.845356,4.357286,be
Business,50.845356,4.357286,be
Business,50.88789000000001,4.4502120000000005,be
Business,50.85735,4.350038,be
Business,50.83,4.33,be
Business,50.83,4.33,be
Business,51.05444,3.717330000000001,be
Business,51.0518,4.454145,be
Business,50.87381,4.263758,be
Business,50.815594,4.38328,be
Business,50.834778,4.405646,be
Business,50.83,4.33,be
Business,50.872902,4.4158040000000005,be
Business,50.872902,4.4158040000000005,be
Business,50.406376,4.437429,be
Business,50.85735,4.350038,be
Business,50.85735,4.350038,be
Business,50.813545,4.393089,be
Business,50.83,4.33,be
Business,50.864902,4.348318,be
Business,50.83799000000001,4.402896,be
Business,50.84049,4.380881,be
Business,50.84049,4.380881,be
Business,50.85735,4.350038,be
Business,50.845284,4.370739,be
Business,50.850338,4.35171,be
Business,50.862228,4.42681,be
Business,50.84079000000001,4.37134,be
Business,50.842812,4.35074,be
Business,50.844822,4.379021,be
Business,50.83,4.33,be
Business,50.832523,4.366579,be
Business,50.84237,4.384941,be
Business,50.824524,4.366159,be
Business,50.805798,4.3561190000000005,be
Business,50.81524,4.371396,be
Business,50.84237,4.384941,be
Business,50.813545,4.393089,be
Business,50.84670300000001,4.359478,be
Business,50.841488,4.37633,be
Business,49.60436,6.13664,be
Business,50.850452,4.34676,be
Business,50.84747,4.359116,be
Business,50.845726,4.3491230000000005,be
Business,50.83,4.33,be
Business,50.850452,4.34676,be
Business,50.850452,4.34676,be
Business,50.81915,4.362748000000002,be
Business,50.82649,4.364098,be
Business,50.811096,4.404338,be
Business,50.93416,5.355862,be
Business,50.845966,4.435893,be
Business,51.19374000000001,4.433919,be
Business,50.813545,4.393089,be
Business,50.84878,4.373776,be
Business,50.84878,4.373776,be
Business,50.83,4.33,be
Business,50.872944,4.415792,be
Business,50.850452,4.34676,be
Business,50.838439,4.3728690000000014,be
Business,50.845356,4.357286,be
Business,50.834782,4.40565,be
Business,51.215023,4.471021,be
Business,50.805798,4.3561190000000005,be
Business,50.83,4.33,be
Business,50.823822,4.362893,be
Business,50.83902,4.397214,be
Business,50.838898,4.398612,be
Business,50.851063,4.366844,be
Business,50.84747,4.359116,be
Business,50.84237,4.384941,be
Business,50.398254,5.033744,be
Business,50.83,4.33,be
Business,50.83799000000001,4.402896,be
Business,50.82098,4.324961,be
Business,50.840488,4.379961,be
Business,51.036247,3.734456,be
Business,50.84878,4.373776,be
Business,50.84878,4.373776,be
Business,50.84878,4.373776,be
Business,50.84878,4.373776,be
Business,50.848892,4.34846,be
Business,50.84878,4.373776,be
Business,50.813545,4.393089,be
Business,50.84237,4.384941,be
Business,50.872944,4.415792,be
Business,50.872902,4.4158040000000005,be
Business,50.84474,4.322273,be
Business,50.849777,4.367047,be
Business,50.83733,4.367499,be
Business,51.041267,3.713241000000001,be
Business,50.841476,4.376384,be
Business,50.84237,4.384941,be
Business,50.832523,4.366579,be
Business,50.84670300000001,4.359478,be
Business,50.84670300000001,4.359478,be
Business,50.83799000000001,4.369427,be
Business,50.84861400000001,4.356299,be
Business,50.850338,4.35171,be
Business,50.85735,4.350038,be
Business,50.841488,4.37633,be
Business,50.850338,4.35171,be
Business,50.826775,4.400252,be
Business,50.790844,4.474512,be
Business,50.85735,4.350038,be
Business,50.841324,4.352474,be
Business,50.85296,4.346872,be
Business,50.84847,4.352707,be
Business,50.850555,4.364167,be
Business,50.842598,4.3836,be
Business,50.847324,4.352685,be
Business,50.8374,4.372387000000002,be
Business,50.8325,4.3758300000000006,be
