,topic,v_lat,v_lon,Country,event_url,event_name,maxdist,mediandist,ID_event,date,venue_name,count_part
0,Tech,48.22,16.37,at,https://www.meetup.com/Disrupt-Meetup-Blockchain-and-Crypto-Asset-Vienna/events/256865342/,Disrupt Meetup | Blockchain and Crypto Assets Vienna,7.0,7.0,256865342,Thu May 23 19:00:00 2019,,3
1,Tech,48.214855,16.36526,at,https://www.meetup.com/Disrupt-Meetup-Data-Science-and-AI-Vienna/events/256882613/,Disrupt Meetup | Exploring Artificial Intelligence and GDPR,7.0,7.0,256882613,Thu Apr 18 19:00:00 2019,DLA Piper Weiss-Tessbach Rechtsanw\u00e4lte GmbH,13
2,"Well-being,Spirituality,Business,Arts,Social,Support,Community,Education",48.2349,16.318405,at,https://www.meetup.com/Wien-English-Improv/events/257237556/,Open Training English Improv,4365.426698984941,13.537379429705446,257237556,Wed Apr  3 19:00:00 2019,Amadeus,3
3,"Well-being,Spirituality,Business,Arts,Social,Support,Community,Education",48.2349,16.318405,at,https://www.meetup.com/Wien-English-Improv/events/257237567/,Open Training English Improv,7.0,7.0,257237567,Wed May 29 19:00:00 2019,Amadeus,2
4,"Fitness,Sports,Outdoors,Music,Games,Social,Food&Drink",48.251797,16.383434,at,https://www.meetup.com/Wien-Singles-ab40-Fun-Kennenlernen/events/257861245/,Romantischer Grillabend unter Sternen,7.0,7.0,257861245,Wed Jul  3 17:30:00 2019,Grillplatz 4,2
5,"Fitness,Sports,Outdoors,Music,Games,Social,Food&Drink",48.251797,16.383434,at,https://www.meetup.com/Wien-Singles-ab40-Fun-Kennenlernen/events/257861340/,Romantischer Grillabend beim Wasser ,7.0,7.0,257861340,Thu Jul 18 17:30:00 2019,Grillplatz 4,3
6,"Fitness,Sports,Outdoors,Music,Games,Social,Food&Drink",48.251797,16.383434,at,https://www.meetup.com/Wien-Singles-ab40-Fun-Kennenlernen/events/257861422/,Romantischer Grillabend unter Sternen auf der Donauinsel,10.268689714852725,7.0,257861422,Wed Aug 14 17:30:00 2019,Grillplatz 4,3
7,"Outdoors,Fitness,Social,Food&Drink,Films,Arts,Music",48.202362,16.332895,at,https://www.meetup.com/Wien-erleben/events/257861784/,Wir fliegen zum Spezialpreis nach AFRIKA!,7.0,7.0,257861784,Sun May 19 18:00:00 2019,Wiener Stadthalle,2
8,Tech,48.21346,16.366583,at,https://www.meetup.com/ReactVienna/events/257905185/,React April Meetup,7.0,7.0,257905185,Wed Apr 17 18:30:00 2019,SAE Institute Wien,43
9,Tech,48.21346,16.366583,at,https://www.meetup.com/ReactVienna/events/257905194/,React May Meetup,92.05946428946218,7.0,257905194,Fri May 17 18:30:00 2019,SAE Institute Wien,4
10,"Fitness,Sports,Outdoors,Music,Games,Social,Food&Drink",48.216236,16.394953,at,https://www.meetup.com/Wien-Singles-ab40-Fun-Kennenlernen/events/258013050/,Besuch des Pratermuseums - Eintritt frei ,7.0,7.0,258013050,Sun May  5 11:00:00 2019,Wien Museum Prater Museum,2
11,"Outdoors,Fitness,Social,Food&Drink,Films,Arts,Music",47.39399,13.686131,at,https://www.meetup.com/Wien-erleben/events/258240659/,Wanderwochenende Pfingsten in Schladming,133.22426579221624,14.334005537951873,258240659,Thu Jun  6 20:00:00 2019,Schladming,3
